portal url,hub id,organic search visits,organic search percentage,organic search contacts,organic contacts percentage,organic search customers,Organic search customers percentage,referrals visits,referrals visits percentage,referrals contacts,referrals contacts percentage
"www.hearingyourbest.com","Hub ID: 1662495","1,468","3.00%","44","2.27%","1","0.07%","79","2.53%","2","0.00%"
"www.myrhsa.com","Hub ID: 133366","628","0.64%","4","0.00%","0","0.00%","2","0.00%","0","0.00%"
"Ian Martin","Hub ID: 435264","6,018","0.47%","28","3.57%","1","0.02%","1,300","3.62%","47","4.26%"
"allwildlife.ca","Hub ID: 2382023","8,551","0.69%","59","0.00%","0","0.00%","18","11.11%","2","0.00%"
"www.dg.ca","Hub ID: 2295251","3,600","0.92%","33","0.00%","0","0.00%","1,176","0.94%","11","0.00%"
"www.oxfordedu.ca","Hub ID: 553527","2","0.00%","0","0.00%","0","0.00%","1","0.00%","0","0.00%"
"www.uzado.com","Hub ID: 482723","576","0.87%","5","0.00%","0","0.00%","2","0.00%","0","0.00%"
"www.theavjunction.com","Hub ID: 3224021","8","12.50%","1","0.00%","0","0.00%","10","10.00%","1","0.00%"
"thayerpartnersllc.com","Hub ID: 681935","837","0.12%","1","0.00%","0","0.00%","5","0.00%","0","0.00%"
"www.staffedge.com","Hub ID: 196691","1,893","1.32%","25","0.00%","0","0.00%","54","3.70%","2","0.00%"
"seventhheaven.ca","Hub ID: 493596","1,245","1.85%","23","0.00%","0","0.00%","190","6.84%","13","0.00%"
"HCP","Hub ID: 1860502","321","0.62%","2","0.00%","0","0.00%","169","8.88%","15","0.00%"
"www.thepayrolledge.com","Hub ID: 229897","1,339","2.24%","30","0.00%","0","0.00%","6","0.00%","0","0.00%"
"bnasmartpayment.com","Hub ID: 229886","594","1.18%","7","0.00%","0","0.00%","8","0.00%","0","0.00%"
"technophar.com","Hub ID: 2934980","575","1.57%","9","0.00%","0","0.00%","97","0.00%","0","0.00%"
"HMA","Hub ID: 1860497","1,092","0.82%","9","0.00%","0","0.00%","33","0.00%","0","0.00%"
"www.cashtechcurrency.com","Hub ID: 398538","5,159","0.45%","23","0.00%","0","0.00%","67","2.99%","2","0.00%"
"rooneyearl.com","Hub ID: 2406456","29","0.00%","0","0.00%","0","0.00%","1","0.00%","0","0.00%"
"www.getjungo.ca","Hub ID: 2831904","194","0.00%","0","0.00%","0","0.00%","290","1.03%","3","0.00%"
"kloudville.com","Hub ID: 2866335","364","1.92%","7","0.00%","0","0.00%","31","0.00%","0","0.00%"
"Corsana","Hub ID: 1860490","23","0.00%","0","0.00%","0","0.00%","12","0.00%","0","0.00%"
"LevelJump Software","Hub ID: 3446505","2","0.00%","0","0.00%","0","0.00%","17","0.00%","0","0.00%"
"www.qnnect.com","Hub ID: 1931406","2,382","0.50%","12","0.00%","0","0.00%","111","0.90%","1","0.00%"
"Lewer","Hub ID: 2427637","2,381","1.55%","37","0.00%","0","0.00%","2,544","0.75%","19","0.00%"
"www.designdocs.com","Hub ID: 2202142","785","1.02%","8","12.50%","1","0.13%","15","0.00%","0","0.00%"
"Senior Helpers Canada","Hub ID: 2847121","509","2.75%","14","0.00%","0","0.00%","24","0.00%","0","0.00%"
"www.saleshub.ca","Hub ID: 164795","3,045","0.43%","13","0.00%","0","0.00%","214","0.47%","1","0.00%"
"talentcor.com","Hub ID: 2172992","6,188","0.97%","60","0.00%","0","0.00%","6,058","1.04%","63","0.00%"
"www.billgosling.com","Hub ID: 2577700","4,531","0.29%","13","0.00%","0","0.00%","227","0.00%","0","0.00%"
"www.inteqna.com","Hub ID: 554657","5,675","0.53%","30","0.00%","0","0.00%","333","0.60%","2","0.00%"
